Departamento,Municipio,lat,lon,DIF_min,DIF_max,DIF_mean,DIF_count,DIF_std,DIF_median,DNI_min,DNI_max,DNI_mean,DNI_count,DNI_std,DNI_median,GHI_min,GHI_max,GHI_mean,GHI_count,GHI_std,GHI_median,GTI_min,GTI_max,GTI_mean,GTI_count,GTI_std,GTI_median,OPTA_min,OPTA_max,OPTA_mean,OPTA_count,OPTA_std,OPTA_median,PVOUT_min,PVOUT_max,PVOUT_mean,PVOUT_count,PVOUT_std,PVOUT_median,TEMP_min,TEMP_max,TEMP_mean,TEMP_count,TEMP_std,TEMP_median
PUTUMAYO,LEGUIZAMO,0.05947187931229034,-75.06478837710522,906.1849975585938,935.77001953125,925.413819864821,141738,5.321231654238023,926.2739868164062,1042.7889404296875,1175.009033203125,1101.796497763479,141738,26.185198853210796,1107.072998046875,1690.741943359375,1770.366943359375,1727.5266759796243,141738,15.960191191075335,1731.6500244140625,1692.5679931640625,1771.4620361328125,1729.047905290042,141738,15.441024248771006,1733.1109619140625,1.0,4.0,2.6654135338345863,798,1.3699539047611122,3.0,1336.449951171875,1398.177001953125,1366.773226616447,12744,12.458269959173569,1370.41796875,24.700000762939453,25.399999618530273,25.0263947740113,12744,0.1180177901135851,25.0
NARIÑO,SANDONA,1.2880998829679569,-77.45670201974086,790.0360107421875,912.3939819335938,877.3536422578185,1311,19.44307363154431,880.6179809570312,635.9000244140625,1301.7509765625,1075.6880244088482,1311,149.65914116397508,1122.4129638671875,1262.303955078125,1830.998046875,1656.8066361556064,1311,128.59510424703447,1708.2740478515625,1264.1300048828125,1831.72900390625,1657.1802059496567,1311,128.97498405054876,1708.2740478515625,1.0,3.0,2.0,6,0.816496580927726,2.0,1118.030029296875,1451.8690185546875,1344.8278484513273,113,81.68091099220186,1378.4539794921875,8.600000381469727,23.0,18.169913232853983,113,3.4383028318983238,19.100000381469727
NARIÑO,SAN BERNARDO,1.5297804255729643,-77.02070177733714,789.6699829101562,908.3770141601562,880.8181146572105,846,13.87808575135953,881.3480224609375,642.4749755859375,1359.8260498046875,1137.059988179669,846,102.65377418057093,1155.10302734375,1253.9029541015625,1835.3809814453125,1687.5800827423168,846,81.02824079375611,1699.873046875,1254.9990234375,1836.842041015625,1688.4816784869977,846,81.22380740827921,1701.1514892578125,1.0,2.0,1.6666666666666667,6,0.4714045207910317,2.0,1156.7469482421875,1461.364990234375,1378.4769631410256,78,53.71782915513742,1383.74951171875,6.800000190734863,19.5,15.426923702924679,78,2.086198403559213,15.649999618530273
NARIÑO,SAN LORENZO,1.54214066015667,-77.2187221447106,773.5999755859375,946.72802734375,878.2045735475896,3236,35.164664143607716,874.0430297851562,970.833984375,1670.654052734375,1375.009888751545,3236,152.1080204443404,1388.31494140625,1635.2239990234375,2065.85400390625,1879.5562422744129,3236,98.20249407122759,1883.593994140625,1634.4940185546875,2068.0458984375,1880.501545117429,3236,99.12228720450531,1884.68994140625,0.0,3.0,1.5,20,0.9746794344808963,2.0,1344.8499755859375,1644.720947265625,1512.573805460751,293,74.21997046131817,1524.553955078125,14.0,24.299999237060547,19.12627986348123,293,2.593907029253491,18.899999618530273
NARIÑO,POTOSI,0.7226774357419752,-77.42480286207825,700.5499877929688,921.5260009765625,860.1196861342869,5034,35.30091007663767,870.0260009765625,246.54400634765625,1181.218017578125,663.8878625347636,5034,224.84605165068214,599.739990234375,898.8800048828125,1693.2989501953125,1310.9783472387762,5034,179.7542463208064,1284.583984375,899.2459716796875,1693.2989501953125,1311.493146603099,5034,179.77680698985804,1285.6800537109375,0.0,3.0,2.0,28,1.0,2.0,836.4219970703125,1393.06396484375,1102.2850441501105,453,143.0888096332352,1070.5479736328125,3.4000000953674316,17.899999618530273,9.65121412803532,453,2.7261434875552886,9.399999618530273
NARIÑO,SAN PABLO,1.6815801602452154,-76.97528781267482,829.4829711914062,935.0399780273438,893.7405433287482,1454,16.469259017530927,893.7670288085938,795.1489868164062,1285.31494140625,1107.5974896836315,1454,89.0311159280805,1113.8294677734375,1461.364990234375,1826.614990234375,1678.9876203576341,1454,69.67767176576314,1686.906982421875,1463.1920166015625,1827.7110595703125,1679.6936038514443,1454,69.82162779947915,1687.8199462890625,1.0,2.0,1.375,8,0.4841229182759271,1.0,1283.488037109375,1442.0069580078125,1368.1184895833333,132,42.67275529598104,1374.070556640625,11.800000190734863,21.100000381469727,16.35757538766572,132,2.116104242198875,16.349998474121094
NARIÑO,PROVIDENCIA,1.2328593361507947,-77.59844808058175,771.0430297851562,897.4190063476562,865.6201003824092,523,19.878674573248766,870.7559814453125,844.822998046875,1339.737060546875,1147.6637189292544,523,93.37936363413219,1164.4169921875,1443.468017578125,1804.699951171875,1679.0865200764817,523,55.498029152793684,1689.64599609375,1443.468017578125,1804.699951171875,1679.1143642447419,523,55.4837492933581,1689.281005859375,0.0,1.0,0.3333333333333333,3,0.4714045207910317,0.0,1328.4139404296875,1460.635009765625,1389.1624002659576,47,30.856633718357468,1396.3509521484375,10.600000381469727,19.299999237060547,14.685105344082446,47,1.9347855167911012,15.100000381469727
NARIÑO,SAN PEDRO DE CARTAGO,1.5368258318066192,-77.10140066084152,821.447021484375,920.0650024414062,883.286673553719,726,14.914825114920886,882.8090209960938,1030.0050048828125,1513.9610595703125,1321.3592458677685,726,89.98152690063262,1338.2760009765625,1599.4300537109375,1919.0240478515625,1817.7889118457301,726,53.747125733276434,1828.0760498046875,1600.5260009765625,1920.1190185546875,1818.4087465564737,726,53.97882409725192,1829.3544921875,0.0,2.0,1.0,5,0.6324555320336759,1.0,1364.93896484375,1538.0679931640625,1475.42724609375,64,40.742955842175476,1484.1929931640625,13.100000381469727,20.0,16.856250762939453,64,1.3832563688973287,16.799999237060547
NARIÑO,PUERRES,0.8265342006067143,-77.32226375660906,665.1199951171875,905.8200073242188,842.9855663287792,4538,36.78400792287849,844.822998046875,290.3739929199219,1150.9029541015625,660.5577346848833,4538,216.9740701569355,581.47802734375,901.43701171875,1673.5760498046875,1303.9834728955486,4538,174.99872716363183,1254.2679443359375,902.5330200195312,1674.6710205078125,1305.5242397531952,4538,174.73825869756325,1256.6424560546875,1.0,3.0,2.25,28,0.6879057244377936,2.0,841.1710205078125,1379.5489501953125,1094.1265281173594,409,139.71552141083768,1045.344970703125,5.599999904632568,19.100000381469727,11.34596577017115,409,3.058890535387044,11.5
NARIÑO,SANTACRUZ,1.285177806631278,-77.74457388365512,638.822021484375,929.5609741210938,865.1337525007145,6998,27.814407984384907,868.198974609375,210.38400268554688,1283.85400390625,731.4335524435553,6998,216.12068975564821,683.5654907226562,802.8189697265625,1774.384033203125,1367.9341240354388,6998,148.84186837830586,1345.2159423828125,802.8189697265625,1775.114990234375,1368.2520720205773,6998,148.82739606694597,1345.2159423828125,0.0,2.0,0.325,40,0.6077622890571609,0.0,855.416015625,1429.5880126953125,1121.4998006379585,627,128.5680393181622,1088.81005859375,8.100000381469727,25.600000381469727,17.80207398823764,627,3.938042296679833,17.700000762939453
NARIÑO,PUPIALES,0.9167691000918419,-77.63337124969702,857.9719848632812,906.1849975585938,897.2152736466389,1681,5.86587717429289,898.5150146484375,889.0180053710938,1273.991943359375,1146.093248066627,1681,70.74501630539338,1142.866943359375,1500.08203125,1748.8170166015625,1662.308744794765,1681,46.907239844859006,1660.06103515625,1502.637939453125,1750.6429443359375,1663.5614217727543,1681,46.80174349650714,1660.7919921875,2.0,2.0,2.0,9,0.0,2.0,1290.427978515625,1437.259033203125,1377.8058333333333,150,32.543197206159526,1374.0699462890625,8.300000190734863,12.899999618530273,11.257333170572917,150,0.8116112532440659,11.399999618530273
NARIÑO,SAMANIEGO,1.430557233351107,-77.69179561978515,687.4000244140625,938.6920166015625,877.0906365607858,7839,29.137654444092725,876.5999755859375,244.71800231933594,1385.758056640625,765.9608368414339,7839,289.35897750399243,628.22998046875,875.1389770507812,1858.3919677734375,1425.9610919760173,7839,209.6252447904653,1364.573974609375,875.1389770507812,1857.6619873046875,1426.1688990942723,7839,209.75753717221332,1364.93896484375,0.0,2.0,0.5116279069767442,43,0.6602357937943437,0.0,873.31298828125,1483.280029296875,1158.1354907539119,703,172.5328390740254,1092.8280029296875,11.300000190734863,26.100000381469727,19.580939389224753,703,3.4650838319673425,19.299999237060547
