Departamento,Municipio,DIF_min,DIF_max,DIF_mean,DIF_std,DIF_median,DNI_min,DNI_max,DNI_mean,DNI_std,DNI_median,GHI_min,GHI_max,GHI_mean,GHI_std,GHI_median,GTI_min,GTI_max,GTI_mean,GTI_std,GTI_median,OPTA_min,OPTA_max,OPTA_mean,OPTA_std,OPTA_median,PVOUT_min,PVOUT_max,PVOUT_mean,PVOUT_std,PVOUT_median,TEMP_min,TEMP_max,TEMP_mean,TEMP_std,TEMP_median
MAGDALENA,FUNDACION,749.8579711914062,932.4829711914062,864.9662746319807,22.94771493814902,871.1209716796875,919.333984375,1733.842041015625,1508.9290443180932,141.90794083714616,1536.6070556640625,1529.6669921875,2102.743896484375,1954.91331100553,105.00749663127601,1961.3919677734375,1534.050048828125,2150.22705078125,1994.6165589220345,112.38219853832165,2001.5699462890625,12.0,14.0,13.0,0.6920066758613097,13.0,1337.5460205078125,1669.1920166015625,1575.663067190227,64.90468220067463,1592.6724853515625,6.699999809265137,29.899999618530273,23.678099094677137,5.22237432797975,25.100000381469727
MAGDALENA,SANTA MARTA,620.5599975585938,947.093017578125,858.9484960591925,59.01450611997416,874.4080200195312,567.9639892578125,2190.0390625,1255.2966382499599,258.52070020606743,1203.4990234375,1066.89501953125,2167.39404296875,1757.6272800386039,169.35053237354754,1739.68603515625,1038.0400390625,2226.198974609375,1787.6310760817114,180.94452326684268,1770.001953125,12.0,16.0,13.587570621468927,1.0967148050686086,13.0,1104.1510009765625,1859.488037109375,1439.0440860215053,136.76773024437543,1420.6395263671875,-1.100000023841858,27.899999618530273,22.223440300179213,5.729698950844565,24.399999618530273
MAGDALENA,EL BANCO,894.4970092773438,925.5430297851562,911.8341254309943,6.30448590503943,912.760009765625,1532.2239990234375,1640.7030029296875,1587.7405647190383,21.553388773608656,1587.010986328125,2043.573974609375,2100.18798828125,2073.4988351504985,11.215013225441789,2073.52392578125,2078.637939453125,2139.26904296875,2110.698536949026,12.009766604748378,2110.780029296875,11.0,12.0,11.982758620689655,0.13016955922880602,12.0,1622.43994140625,1662.2530517578125,1645.0116701244813,8.594539830975595,1645.4510498046875,27.799999237060547,28.600000381469727,28.30518591156639,0.12022639956229475,28.299999237060547
SUCRE,SINCELEJO,943.8060302734375,965.7210083007812,956.4358713355049,4.48168939274448,956.5900268554688,1242.5799560546875,1354.3470458984375,1301.8592562432138,20.489260185321786,1301.02001953125,1866.79296875,1923.406005859375,1897.5032573289902,11.048781790889018,1896.012939453125,1889.803955078125,1957.739990234375,1927.4003800217156,12.01734591929243,1925.9630126953125,11.0,12.0,11.909090909090908,0.28747978728803447,12.0,1494.60302734375,1532.5889892578125,1511.793712797619,9.391769866770192,1510.6739501953125,26.799999237060547,27.899999618530273,27.341666085379465,0.31986171507955724,27.399999618530273
SUCRE,BUENAVISTA,917.8729858398438,933.9439697265625,928.1021071800208,4.790651267945423,930.2919921875,1433.60595703125,1509.9439697265625,1462.4656607700313,21.706536631825408,1453.6949462890625,1975.636962890625,2014.35400390625,1990.6683142559834,10.951595255318905,1986.9599609375,2008.875,2051.243896484375,2025.4560353798126,11.822720649035833,2021.2939453125,12.0,12.0,12.0,0.0,12.0,1567.6529541015625,1596.508056640625,1579.9775,8.429740356180611,1577.1490478515625,27.399999618530273,27.899999618530273,27.640571986607142,0.12193523475118039,27.600000381469727
SUCRE,CAIMITO,910.9340209960938,961.7030029296875,933.0792727943891,14.382582316815245,930.2919921875,1310.5169677734375,1512.135009765625,1422.3982096714656,55.94596914403703,1429.405517578125,1912.083984375,2026.0419921875,1975.7224067921743,32.235515082673025,1978.37646484375,1939.112060546875,2059.280029296875,2005.9592100406053,33.5363019644641,2008.875,11.0,12.0,11.066666666666666,0.2494438257849294,11.0,1514.3260498046875,1604.177978515625,1564.2319246435845,25.157407000833945,1565.8270263671875,27.600000381469727,28.0,27.847453379582486,0.0702673200003609,27.899999618530273
SUCRE,COLOSO,913.8560180664062,963.1640014648438,948.939318975553,6.351275469627954,949.2849731445312,1105.612060546875,1328.0489501953125,1259.8671420256112,53.336918429052936,1274.905029296875,1770.7320556640625,1906.239990234375,1863.518335273574,33.81979729691365,1873.9150390625,1792.281982421875,1939.112060546875,1893.6861175785798,36.51467480701101,1906.239501953125,12.0,12.0,12.0,0.0,12.0,1438.719970703125,1521.2659912109375,1490.359574044586,24.31099463766536,1502.27294921875,25.299999237060547,27.600000381469727,26.925476462977706,0.6255600919959731,27.200000762939453
SUCRE,COROZAL,938.6920166015625,952.93701171875,947.0560859188544,3.13058068425719,947.093017578125,1326.5880126953125,1387.219970703125,1358.9010872447627,12.28898435606877,1361.6519775390625,1913.1800537109375,1952.991943359375,1936.467913020419,8.00093487753249,1939.47802734375,1942.0340576171875,1984.7679443359375,1967.3871652081675,8.379878165446007,1970.1590576171875,11.0,12.0,11.954545454545455,0.20829889522526543,12.0,1524.9189453125,1548.2950439453125,1538.9759759759759,4.932846150664577,1540.6240234375,26.899999618530273,27.600000381469727,27.289188602665167,0.1454108549703737,27.299999237060547
SUCRE,COVEÑAS,915.6820068359375,947.458984375,931.4539825970548,5.1216868614842435,930.2919921875,1321.4739990234375,1436.1629638671875,1388.3866298527444,19.28997926383482,1393.428955078125,1903.3179931640625,1966.5059814453125,1938.9733935742972,10.907218596391886,1942.0340576171875,1933.2679443359375,2003.39599609375,1973.6775435073628,11.795994514361306,1977.0980224609375,12.0,12.0,12.0,0.0,12.0,1519.43994140625,1566.1920166015625,1548.425489738806,9.58969279461678,1550.85205078125,27.600000381469727,28.0,27.822389517257463,0.10340570239537067,27.899999618530273
SUCRE,CHALAN,919.698974609375,964.260009765625,947.9633757961783,6.966641398675892,947.093017578125,1044.25,1321.1090087890625,1239.3052775250228,56.23624784128042,1244.77197265625,1726.5369873046875,1898.5699462890625,1846.3456551410372,35.41886221139711,1848.1650390625,1749.9129638671875,1931.4420166015625,1875.3487261146497,38.361450100360756,1878.115966796875,12.0,12.0,12.0,0.0,12.0,1421.552978515625,1518.7099609375,1482.8478954081634,25.863428237683163,1492.7764892578125,24.399999618530273,27.399999618530273,26.075509207589285,0.7927040662207896,26.0
